map15  	  map16  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map15  	  map18  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map15  	  map19  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map15  	  map22  	  128  	  128  	  128.0                 	  100.0            	  100.0            	  100.0               
map15  	  map25  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map15  	  map27  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map15  	  map28  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map15  	  map29  	  1  	  4  	  2.0                   	  0.78125          	  3.125            	  1.5625              
map15  	  map30  	  57  	  71  	  63.0                  	  44.53125         	  55.46875         	  49.21875            
map15  	  map31  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map15  	  map34  	  52  	  82  	  65.0                  	  40.625           	  64.0625          	  50.78125            
map15  	  map37  	  85  	  98  	  91.3333333333333      	  66.40625         	  76.5625          	  71.3541666666667    
map15  	  map38  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map16  	  map1  	  117  	  127  	  121.333333333333      	  91.40625         	  99.21875         	  94.7916666666667    
map16  	  map2  	  22  	  31  	  27.6666666666667      	  17.1875          	  24.21875         	  21.6145833333333    
map16  	  map3  	  42  	  54  	  49.6666666666667      	  32.8125          	  42.1875          	  38.8020833333333    
map16  	  map4  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map16  	  map5  	  131  	  136  	  133.666666666667      	  99.21875         	  100.0            	  99.7395833333333    
map16  	  map7  	  94  	  111  	  104.333333333333      	  73.4375          	  86.71875         	  81.5104166666667    
map16  	  map12  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map16  	  map13  	  128  	  128  	  128.0                 	  100.0            	  100.0            	  100.0               
map16  	  map14  	  128  	  131  	  129.333333333333      	  97.65625         	  100.0            	  99.21875            
map16  	  map15  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map16  	  map18  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map16  	  map19  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map16  	  map22  	  123  	  131  	  126.333333333333      	  94.53125         	  100.0            	  97.3958333333333    
map16  	  map25  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map16  	  map27  	  13  	  42  	  30.0                  	  10.15625         	  32.8125          	  23.4375             
map16  	  map28  	  22  	  59  	  45.6666666666667      	  17.1875          	  46.09375         	  35.6770833333333    
map16  	  map29  	  129  	  131  	  130.0                 	  100.0            	  100.0            	  100.0               
map16  	  map30  	  128  	  131  	  129.0                 	  100.0            	  100.0            	  100.0               
map16  	  map31  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map16  	  map34  	  128  	  133  	  130.0                 	  98.4375          	  100.0            	  99.4791666666667    
map16  	  map37  	  91  	  103  	  95.3333333333333      	  71.09375         	  80.46875         	  74.4791666666667    
map16  	  map38  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map18  	  map1  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map18  	  map2  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map18  	  map3  	  0  	  1  	  0.666666666666667     	  0.0              	  0.78125          	  0.520833333333333   
map18  	  map4  	  0  	  2  	  0.666666666666667     	  0.0              	  1.5625           	  0.520833333333333   
map18  	  map5  	  127  	  142  	  133.666666666667      	  96.875           	  100.0            	  98.4375             
map18  	  map7  	  61  	  68  	  63.6666666666667      	  47.65625         	  53.125           	  49.7395833333333    
map18  	  map12  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map18  	  map13  	  7  	  19  	  12.6666666666667      	  5.46875          	  14.84375         	  9.89583333333333    
map18  	  map14  	  125  	  128  	  126.666666666667      	  97.65625         	  100.0            	  98.9583333333333    
map18  	  map15  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map18  	  map16  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map18  	  map19  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map18  	  map22  	  14  	  87  	  59.0                  	  10.9375          	  67.96875         	  46.09375            
map18  	  map25  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map18  	  map27  	  1  	  6  	  3.33333333333333      	  0.78125          	  4.6875           	  2.60416666666667    
map18  	  map28  	  128  	  128  	  128.0                 	  100.0            	  100.0            	  100.0               
map18  	  map29  	  128  	  135  	  131.333333333333      	  100.0            	  100.0            	  100.0               
map18  	  map30  	  128  	  135  	  131.0                 	  100.0            	  100.0            	  100.0               
map18  	  map31  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map18  	  map34  	  126  	  132  	  128.333333333333      	  95.3125          	  99.21875         	  97.65625            
map18  	  map37  	  83  	  107  	  96.0                  	  64.84375         	  83.59375         	  75.0                
map18  	  map38  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map22  	  map1  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map22  	  map2  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map22  	  map3  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map22  	  map4  	  0  	  1  	  0.333333333333333     	  0.0              	  0.78125          	  0.260416666666667   
map22  	  map5  	  99  	  105  	  102.666666666667      	  77.34375         	  82.03125         	  80.2083333333333    
map22  	  map7  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map22  	  map12  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map22  	  map13  	  0  	  3  	  1.33333333333333      	  0.0              	  2.34375          	  1.04166666666667    
map22  	  map14  	  102  	  105  	  103.333333333333      	  79.6875          	  82.03125         	  80.7291666666667    
map22  	  map15  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map22  	  map16  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map22  	  map18  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map22  	  map19  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map22  	  map25  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map22  	  map27  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map22  	  map28  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map22  	  map29  	  0  	  1  	  0.333333333333333     	  0.0              	  0.78125          	  0.260416666666667   
map22  	  map30  	  51  	  94  	  77.6666666666667      	  39.84375         	  73.4375          	  60.6770833333333    
map22  	  map31  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map22  	  map34  	  66  	  101  	  86.6666666666667      	  51.5625          	  78.90625         	  67.7083333333333    
map22  	  map37  	  103  	  116  	  109.333333333333      	  80.46875         	  90.625           	  85.4166666666667    
map22  	  map38  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map25  	  map1  	  128  	  128  	  128.0                 	  100.0            	  100.0            	  100.0               
map25  	  map2  	  41  	  72  	  53.3333333333333      	  32.03125         	  56.25            	  41.6666666666667    
